=== MULTI-TRACK DIAGNOSTIC ENGINE SWEEP ===

--- TRACK: Melbourne ---
Track Caught: 727/1100 (66.09%)

--- CAUGHT COMBINATIONS ---
✅ CAUGHT | Time: 20.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 20.0s | Sensor: Speed    | Fault: Stuck Value  | Conf:  77.7%
✅ CAUGHT | Time: 20.0s | Sensor: Speed    | Fault: Drift        | Conf:  67.0%
✅ CAUGHT | Time: 20.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 20.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  70.1%
✅ CAUGHT | Time: 20.0s | Sensor: RPM      | Fault: Drift        | Conf:  99.8%
✅ CAUGHT | Time: 20.0s | Sensor: RPM      | Fault: Noise        | Conf:  78.4%
✅ CAUGHT | Time: 20.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 20.0s | Sensor: Throttle | Fault: Stuck Value  | Conf:  51.2%
✅ CAUGHT | Time: 20.0s | Sensor: Throttle | Fault: Drift        | Conf:  85.3%
✅ CAUGHT | Time: 20.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 20.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 20.0s | Sensor: nGear    | Fault: Stuck Value  | Conf:  57.7%
✅ CAUGHT | Time: 20.0s | Sensor: nGear    | Fault: Drift        | Conf:  99.8%
✅ CAUGHT | Time: 20.0s | Sensor: nGear    | Fault: Noise        | Conf:  79.3%
✅ CAUGHT | Time: 21.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 21.0s | Sensor: Speed    | Fault: Stuck Value  | Conf:  62.0%
✅ CAUGHT | Time: 21.0s | Sensor: Speed    | Fault: Drift        | Conf:  89.6%
✅ CAUGHT | Time: 21.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 21.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  45.0%
✅ CAUGHT | Time: 21.0s | Sensor: RPM      | Fault: Drift        | Conf:  99.9%
✅ CAUGHT | Time: 21.0s | Sensor: RPM      | Fault: Noise        | Conf:  75.2%
✅ CAUGHT | Time: 21.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 21.0s | Sensor: Throttle | Fault: Drift        | Conf:  91.9%
✅ CAUGHT | Time: 21.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 21.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 21.0s | Sensor: nGear    | Fault: Stuck Value  | Conf:  71.1%
✅ CAUGHT | Time: 21.0s | Sensor: nGear    | Fault: Drift        | Conf:  99.9%
✅ CAUGHT | Time: 21.0s | Sensor: nGear    | Fault: Noise        | Conf:  88.8%
✅ CAUGHT | Time: 22.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 22.0s | Sensor: Speed    | Fault: Stuck Value  | Conf:  42.1%
✅ CAUGHT | Time: 22.0s | Sensor: Speed    | Fault: Drift        | Conf:  93.7%
✅ CAUGHT | Time: 22.0s | Sensor: Speed    | Fault: Noise        | Conf:  61.9%
✅ CAUGHT | Time: 22.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 22.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  73.6%
